SIM_EG_LR,SIM_EG_EPS,SIM_SM_LR,SIM_SM_T,SIM_SMUCB_LR,SIM_SMUCB_T,SIM_SMUCB_U,FIT_EG_LR,FIT_EG_EPS,FIT_SM_LR,FIT_SM_T,FIT_SMUCB_LR,FIT_SMUCB_T,FIT_SMUCB_U
0.602564,0.0846456,0.786206,13.7158,0.95,23.9841,1.68428,0.655418,0.06,0.738073,14.8547,0.946699,25.0469,1.69508
0.11292,0.741517,0.229295,17.1976,0.669977,27.9626,0.638859,0.121458,0.533333,0.306336,15.4557,0.71777,25.8822,0.646608
0.987747,0.137913,0.807851,6.01128,0.141684,15.9468,1.16608,0.95,0.136638,0.773316,6.19952,0.100324,18.4754,1.01557
0.942673,0.710503,0.560742,13.5724,0.447266,13.8932,2.62581,0.934694,0.553333,0.674018,12.3956,0.386694,13.2215,2.57984
0.0700045,0.743039,0.193243,4.71746,0.807842,30,0.001,0.0559657,0.613327,0.180975,5.27061,0.844158,26.7433,0.029579
0.773288,0.670898,0.248947,18.5439,0.0209359,30,0.248063,0.768134,0.503333,0.222094,18.9865,0.0195986,28.188,0.292993
0.126685,0.214207,0.665823,6.97233,0.605694,3.66718,2.40931,0.126058,0.186667,0.921823,6.8722,0.613159,3.77168,2.05735
0.463287,0.515558,0.187872,25.9931,0.645241,20.9249,1.16085,0.455385,0.386656,0.19255,24.5478,0.625569,19.9825,1.14992
0.117798,0.372394,0.39693,14.5179,0.270973,7.95492,0.184346,0.117774,0.250001,0.419251,12.8691,0.317824,7.94106,0.190277
0.0667528,0.170196,0.172326,20.9395,0.924186,20.9539,1.14496,0.94891,0.450002,0.171658,20.7242,0.931259,25.2757,1.19218
0.142234,0.685377,0.258559,10.9215,0.401189,2.01691,2.31064,0.129961,0.546667,0.369052,10.0192,0.641557,1.54533,1.70234
0.786235,0.627753,0.0318181,7.52316,0.541928,4.15273,0.144858,0.826908,0.45,0.0882379,4.2519,0.514611,4.15904,0.285496
0.353555,0.0921055,0.95,22.9558,0.475844,5.00955,0.912309,0.355345,0.113333,0.973431,23.4844,0.707963,5.62727,1.50839
0.394774,0.702593,0.741165,3.26163,0.278546,4.18904,1.02733,0.425417,0.566667,0.90594,3.29156,0.225419,4.37083,1.06354
0.0378228,0.489902,0.473748,1.85684,0.710149,5.53502,0.934453,0.748692,0.673333,0.814843,1.60306,0.928352,5.06082,0.64538
0.0911265,0.908877,0.0563759,11.1528,0.234374,10.6038,2.47863,0.0165791,0.689971,0.0654903,10.0802,0.196026,11.4713,2.16959
0.473551,0.31288,0.0355763,25.59,0.725094,13.9657,1.23611,0.496416,0.296667,0.0367465,21.8703,0.852541,13.0006,1.2646
0.495508,0.48036,0.00507219,29.9984,0.789517,18.841,0.0970485,0.451469,0.37,0.0092384,17.2071,0.742056,17.0574,0.0354871
0.358028,0.960908,0.312292,3.57829,0.758173,9.39451,0.52656,0.372414,0.703333,0.353066,2.28261,0.862824,7.91335,0.575329
0.629918,0.843147,0.95,16.2286,0.250393,10.3113,2.88476,0.627398,0.636667,0.993244,14.1583,0.20564,10.0187,2.64949
0.82203,0.0201513,0.206643,9.39112,0.496077,30,4.55202,0.756464,0.001,0.246448,9.10446,0.482732,28.6823,4.33231
0.683809,0.628968,0.487446,29.0691,0.840895,30,0.592138,0.646482,0.463333,0.43693,27.191,0.852136,27.714,0.621965
0.142962,0.779089,0.427033,14.3394,0.494789,28.7776,0.55693,0.141849,0.583331,0.488765,13.7306,0.518272,27.5787,0.594818
0.343261,0.55773,0.697768,17.4208,0.940488,12.4037,0.724685,0.317483,0.436694,0.629962,19.3328,0.896481,12.4365,0.646911
0.032739,0.25611,0.88488,27.5512,0.837144,15.3471,1.04233,0.00404235,0.183333,0.975426,27.401,0.758412,14.1783,0.929
0.942709,0.567364,0.500238,14.3982,0.529288,4.18717,5.08266,0.95,0.419995,0.484147,16.5979,0.798374,3.83391,4.97206
0.078632,0.508078,0.0684528,12.7875,0.821125,9.94376,0.360965,0.0835848,0.349999,0.057788,12.5237,0.820823,10.3923,0.370889
0.816322,0.197899,0.352209,7.10453,0.53578,29.1257,0.525983,0.818461,0.15,0.327756,7.48315,0.517716,27.9319,0.482639
0.343475,0.170276,0.150275,22.7803,0.408741,18.8847,0.879918,0.346597,0.123333,0.124795,27.1269,0.328804,19.1646,0.787445
0.418598,0.0964157,0.880553,26.0066,0.521963,16.2036,0.605398,0.42153,0.0666667,0.895797,27.186,0.591041,13.4639,0.661629
